label,message
0,guy close
0,please come imin towndontmatter urgoin outlrjust reallyneed docdplease dontplease dontignore mycallsu thecd isvimportant tome moro
0,ok ksry knw sivatats askd
0,ill see prolly yeah
0,ill see swing bit got thing take care firsg
0,shall book chez jules half eight thats ok
0,thanks message really appreciate sacrifice im sure process direct pay find way back test tomorrow im class wonderful day
0,feb ltgt love u day send dis ur valued frnds evn come back ull gt married person u luv u ignore dis u lose ur luv evr
0,ok chinese food way get fat youre paying lipo
1,free nokia motorola upto mths price linerental free xnet minstxtmth free btooth call mobileupd call optoutdwv
0,jus came back fr lunch wif si u leh
0,yup im elaborating safety aspect issue
0,ok lor anyway thk cant get ticket co like quite late already u wan go look ur frens darren wif
0,helloooo wake sweet morning welcome enjoy day full joy gud mrng
0,pls call da happen
1,call use ur min call cast pmin mob vary service provided aom gbpmonth aom boxm er u stop age
0,u awake snow
0,hmph go head big baller
0,gonna blake night might able get little early
0,thanx lot
0,oh ic thought meant mary jane
0,got tv watch meh u work today
1,want new video phone anytime network min half price line rental free text month reply call free delivery
0,notice like looking shit mirror youre turning right freak
0,management puzzeles
0,tension face smiling face waste face innocent face terror face cruel face romantic face lovable face decent face ltgt joker face
0,sunny california weather cool
0,fyi im usf swing room whenever
0,asked sen come chennai search job
0,love want flood pretty pussy cum
0,ã¼ b going esplanade fr home
1,important customer service announcement call freephone
0,wish great semester
0,hi happy birthday hi hi hi hi hi hi hi
0,get opinion something first
0,done internet connection v slow canât send try later first thing tomo
0,anything lor
0,going film day da pm sorry da
0,thought put back box
1,important customer service announcement call freephone
0,dai da send resume id
0,yes appt
0,youre done mean
0,told hr want posting chennaibecause im working
0,know god created gap finger one made come amp fill gap holding hand love
0,thought slide enough
0,god blessget good sleep deari pray
0,called one pick e phone ask already said ok
0,free day finish mon n thurs
1,ur cashbalance currently pound maximize ur cashin send go pmsg cc hgsuitelands rowwjhl
1,babe u want dont u baby im nasty thing filthyguys fancy rude time sexy bitch go slo n hard txt xxx slomsgs
0,u noe wat time e place dat sell close
0,one joy lifeis waking daywith thought somewheresomeone care enough tosend warm morning greeting
0,juz remembered gotta bathe dog today
0,went project centre
0,take care financial problemi help
0,e msg jus u said thanks gift
0,yoyyooo u know change permission drive mac usb flash drive
0,watching house â entertaining â getting whole hugh laurie thing â even stick â indeed especially stick
1,want explicit sex sec ring cost pmin gsex pobox wcn xx
0,sure ill see come bit
0,borrow ur bag ok
1,free ringtone text first poly text get true tone help st free tone xâ£pw eâ£nd txt stop
0,dont know oh hopefully month
0,den wat e schedule b lk sun
0,uh head dont much left
1,hard live chat pmin choose girl connect live call cheap chat uk biggest live service vu bcmwcnxx
0,sir waiting call free please call
0,planning usually stop find hella weed smoke hella weed
0,nt joking seriously told
0,ranjith cal drpd deeraj deepak min hold
0,ã give time walk
0,sorry bathroom sup
0,aiyar hard type u later free tell call n scold n tell u
0,ã takin linear algebra today
0,able anything
1,private account statement show unredeemed sim point call identifier code expires
0,nokia phone lovly
0,oh ho first time u use type word
0,one talking
0,keeping away like
0,mean still think teju
0,cheer u tex mecause u werebored yeah okden hunny r uin wk satsoundâs likeyour havin grfun j keep updat countinlots loveme xxxxx
0,ã thk wat eat tonight
